Date,Block,Plot No,Genotype,Sample (pseudo rep),Tallest stem freshweight(g)  Leaf,Tallest stem freshweight(g) Stem,Tallest stem Dry weight(g) Leaf,Tallest stem Dry weight(g) Stem,Fresh weight above ground material(g),Fresh weight above ground  sub-sample(g),dry weight above ground sub-sample(g),Fresh weight Below Harvest Mass  (g) (stubble),Dry weight Below Harvest Mass  (g) (stubble),Rhizome fresh weight(g),Rhizome sub sample fresh weight(g),Rhizome sub sample dry weight(g),notes
2011-09-05 00:00:00 UTC,2,42,Giganteus,15,49.1,183.4,16.7,64.9,4144.3,137.4,41.6,200.6,78.4,1709.3,323.9,77.6,
2011-09-05 00:00:00 UTC,2,44,Sac-5,14,37.5,103.3,11.7,30.1,1061.1,137.3,39.2,68.3,24.0,549.2,171.0,38.8,
2011-09-05 00:00:00 UTC,2,46,Goliath,11,29.8,66.4,8.7,20.8,1936.1,118.6,34.3,113.5,34.0,666.3,135.3,41.3,
2011-09-05 00:00:00 UTC,2,48,EMI-11,9,7.2,22.4,2.9,9.1,190.5,81.2,24.8,34.4,8.6,118.7,74.9,19.1,
2011-09-05 00:00:00 UTC,3,50,EMI-11,11,10.2,31.1,3.9,12.9,1308.9,109.7,37.9,186.5,54.3,600.3,223.9,69.3,
2011-09-05 00:00:00 UTC,3,51,Sac-5,4,50.4,137.8,15.3,40.5,982.4,136.9,38.1,64.0,23.9,445.1,182.9,40.0,
2011-09-05 00:00:00 UTC,3,53,Goliath,13,34.2,79.1,10.9,24.4,4133.1,139.4,38.7,269.5,73.1,1009.7,221.3,66.8,
2011-09-05 00:00:00 UTC,3,56,Giganteus,12,56.8,187.2,18.5,64.9,842.7,115.2,33.7,63.0,20.2,248.6,121.5,35.6,
2011-09-05 00:00:00 UTC,4,57,Goliath,11,27.3,49.8,8.5,13.6,524.2,138.1,32.6,40.3,9.2,206.8,104.8,25.5,
2011-09-05 00:00:00 UTC,4,58,Sac-5,14,85.2,333.0,24.9,95.0,2558.3,171.5,49.2,104.2,38.0,1424.0,203.3,45.3,
2011-09-05 00:00:00 UTC,4,61,EMI-11,7,6.5,22.2,2.1,8.7,1604.8,115.6,40.1,102.3,29.6,590.8,156.3,44.8,
2011-09-05 00:00:00 UTC,4,62,Giganteus,9,38.2,140.3,14.4,51.8,3416.8,127.1,47.1,165.1,65.0,1465.5,268.5,77.2,
2011-11-14 00:00:00 UTC,1,35,EMI-11,10,2.6,15.8,1.9,8.0,944.3,129.6,62.4,124.0,45.6,522.4,264.5,99.1,
2011-11-14 00:00:00 UTC,1,36,Giganteus,5,21.8,146.1,9.1,57.1,3235.1,141.9,54.9,173.7,68.3,2398.8,398.0,110.0,
2011-11-14 00:00:00 UTC,1,39,Goliath,9,19.5,64.5,9.0,27.8,1759.9,179.2,73.6,206.1,71.6,654.9,309.6,114.8,
2011-11-14 00:00:00 UTC,1,40,Sac-5,14,15.4,127.9,5.2,43.7,1607.7,233.8,83.0,127.2,51.5,799.3,275.9,80.1,
2011-11-14 00:00:00 UTC,2,42,Giganteus,14,31.4,152.0,14.0,59.3,2208.6,177.4,58.5,120.5,41.8,815.9,283.9,82.1,
2011-11-14 00:00:00 UTC,2,44,Sac-5,5,36.7,129.6,11.2,45.9,125.2,81.5,30.2,9.6,3.6,295.0,175.3,43.1,
2011-11-14 00:00:00 UTC,2,46,Goliath,5,18.0,21.7,6.7,8.0,124.3,73.0,27.7,33.5,9.9,133.2,133.2,28.7,
2011-11-14 00:00:00 UTC,2,48,EMI-11,8,2.3,17.4,3.2,9.8,641.8,139.4,68.6,162.7,53.8,398.3,216.4,78.7,
2011-11-14 00:00:00 UTC,3,50,EMI-11,7,2.6,12.3,2.5,6.6,103.6,26.5,11.3,32.9,10.6,100.7,100.2,35.1,
2011-11-14 00:00:00 UTC,3,51,Sac-5,6,27.2,166.8,8.7,62.6,1203.0,210.9,82.5,85.5,37.3,696.1,258.5,70.3,
2011-11-14 00:00:00 UTC,3,53,Goliath,9,11.7,46.4,8.1,21.3,1632.1,146.1,64.5,192.5,64.6,681.2,316.2,116.6,
2011-11-14 00:00:00 UTC,3,56,Giganteus,6,23.1,167.8,9.7,63.3,1016.7,207.4,89.1,100.7,40.6,417.6,211.3,66.0,
2011-11-14 00:00:00 UTC,4,57,Goliath,13,16.9,42.4,12.0,18.7,3134.6,182.6,73.6,313.4,104.6,1302.0,235.8,87.6,
2011-11-14 00:00:00 UTC,4,58,Sac-5,5,24.6,102.3,10.4,41.7,1210.7,205.3,84.3,63.4,32.0,1099.7,254.6,68.1,
2011-11-14 00:00:00 UTC,4,61,EMI-11,2,6.0,17.6,4.3,8.6,798.7,140.0,65.5,143.8,53.2,436.3,208.8,81.2,
2011-11-14 00:00:00 UTC,4,62,Giganteus,2,36.5,84.9,14.7,33.3,2632.8,164.2,61.2,145.7,59.3,1508.4,222.9,66.8,
2011-11-21 00:00:00 UTC,1,1,Giganteus,8,11.4,39.1,5.06,10.81,104.0,42.8,14.16,13.2,,276.85,192.29,68.51,
2011-11-21 00:00:00 UTC,1,3,Goliath,14,0.6,26.4,0.29,11.31,1000.0,390.9,162.04,104.1,25.42,775.59,653.93,253.04,
2011-11-21 00:00:00 UTC,1,6,EMI-11,15,0.78,13.0,0.42,6.05,429.0,231.6,103.4,56.1,11.98,371.83,287.0,110.08,
2011-11-21 00:00:00 UTC,1,7,Sac-5,14,33.1,112.0,12.7,46.43,1002.0,380.1,146.16,44.3,9.41,1191.99,565.0,220.86,
2011-11-21 00:00:00 UTC,2,10,Sac-5,4,28.9,124.2,4.79,27.88,1015.0,344.4,135.31,60.0,13.29,1424.17,639.12,207.64,
2011-11-21 00:00:00 UTC,2,12,EMI-11,8,0.28,15.9,0.76,6.82,1402.0,373.6,209.5,113.7,33.41,924.67,437.72,163.85,
2011-11-21 00:00:00 UTC,2,13,Giganteus,12,12.4,66.1,2.31,16.83,2267.0,440.4,207.24,100.8,21.86,3429.33,807.45,321.6,
2011-11-21 00:00:00 UTC,2,14,Goliath,3,0.4,22.0,6.52,47.4,373.0,131.8,65.03,27.26,6.46,277.37,183.49,69.22,
2011-11-21 00:00:00 UTC,3,17,Giganteus,2,9.45,67.7,11.87,50.21,2554.0,670.6,279.25,118.9,38.76,4137.6,778.2,306.37,
2011-11-21 00:00:00 UTC,3,19,EMI-11,10,1.26,15.3,0.17,8.04,1733.0,453.7,215.35,97.6,28.23,1088.95,433.41,174.04,
2011-11-21 00:00:00 UTC,3,23,Goliath,10,3.88,38.7,8.66,28.56,842.0,239.5,101.6,47.3,12.3,423.88,348.17,143.69,
2011-11-21 00:00:00 UTC,3,24,Sac-5,6,17.6,116.8,0.04,9.9,985.0,267.8,106.73,44.0,10.2,1513.35,543.07,209.37,
2011-11-21 00:00:00 UTC,4,25,Sac-5,14,41.2,196.9,14.19,77.2,1399.0,380.3,153.29,50.0,9.95,1831.25,598.62,213.72,
2011-11-21 00:00:00 UTC,4,28,Goliath,5,1.9,38.7,1.19,17.92,1581.0,561.2,274.4,113.0,33.02,966.51,455.99,182.49,
2011-11-21 00:00:00 UTC,4,30,EMI-11,5,0.28,16.1,0.09,9.42,1401.0,358.4,207.91,78.2,21.23,1316.0,485.49,194.31,
2011-11-21 00:00:00 UTC,4,31,Giganteus,11,14.1,98.1,9.36,41.98,1907.0,592.2,266.01,68.8,14.78,2426.0,734.16,276.29,
2012-01-19 00:00:00 UTC,1,1,Giganteus,,1.7,3.9,0.94,1.19,12.1,12.1,,3.8,,65.8,65.8,,
2012-01-19 00:00:00 UTC,1,3,Goliath,,,22.9,,12.83,519.0,149.2,78.2,64.4,13.7,557.8,433.4,166.7,
2012-01-19 00:00:00 UTC,1,6,EMI-11,,0.1,6.5,0.09,4.03,192.0,99.1,58.2,41.0,6.9,233.6,158.9,59.7,
2012-01-19 00:00:00 UTC,1,7,Sac-5,,6.0,39.5,3.8,22.37,431.0,207.3,119.8,34.6,,1742.9,592.5,214.1,
2012-01-19 00:00:00 UTC,3,17,Giganteus,,2.9,64.9,2.49,59.41,1042.0,394.4,194.6,84.3,17.1,2485.4,519.8,198.8,
2012-01-19 00:00:00 UTC,3,19,EMI-11,,1.5,10.7,1.04,8.62,624.0,293.4,176.7,58.5,12.1,590.9,319.9,123.9,
2012-01-19 00:00:00 UTC,3,23,Goliath,,0.4,38.9,1.3,18.15,876.0,444.1,232.2,87.7,20.2,708.9,547.9,215.4,
2012-01-19 00:00:00 UTC,3,24,Sac-5,,1.7,119.7,0.51,19.18,1718.0,575.3,384.2,110.7,21.2,3087.6,933.9,318.0,
2012-01-20 00:00:00 UTC,2,10,Sac-5,,3.5,86.3,1.32,29.39,642.0,286.8,199.1,55.6,7.2,1543.6,658.8,219.8,
2012-01-20 00:00:00 UTC,2,12,EMI-11,,1.3,11.1,0.91,6.3,597.0,337.5,262.1,63.6,15.2,660.2,515.0,208.0,
2012-01-20 00:00:00 UTC,2,13,Giganteus,,1.5,33.3,0.15,21.76,374.0,144.1,81.7,42.1,7.5,1317.2,425.8,159.4,
2012-01-20 00:00:00 UTC,2,14,Goliath,,0.7,29.1,0.94,72.5,735.0,409.7,275.2,66.0,15.0,656.4,470.0,189.5,
2012-01-20 00:00:00 UTC,4,25,Sac-5,,,,,,820.0,277.6,193.8,68.6,12.8,3085.6,875.8,312.6,
2012-01-20 00:00:00 UTC,4,28,Goliath,,0.3,19.8,0.25,14.52,771.0,389.7,250.5,90.7,24.0,823.7,395.6,156.1,
2012-01-20 00:00:00 UTC,4,30,EMI-11,,1.4,8.6,0.85,6.38,737.0,316.6,238.7,71.2,15.4,1118.3,458.0,167.6,
2012-01-20 00:00:00 UTC,4,31,Giganteus,,1.1,52.1,0.81,30.72,1345.0,561.7,323.0,106.1,25.9,2600.6,686.2,258.9,
2012-01-24 00:00:00 UTC,1,35,EMI-11,6,,10.07,,8.6,657.4,93.4,49.2,141.9,51.2,545.4,263.4,102.1,
2012-01-24 00:00:00 UTC,1,36,Giganteus,6,0.97,110.16,0.8,48.3,382.5,109.8,41.0,56.7,20.2,288.4,186.2,53.0,
2012-01-24 00:00:00 UTC,1,39,Goliath,2,3.93,32.71,1.9,20.1,1242.9,164.5,75.9,154.8,55.2,714.0,375.1,145.5,
2012-01-24 00:00:00 UTC,1,40,Sac-5,5,,133.19,,65.4,226.3,87.6,33.0,147.9,58.2,1677.9,458.0,136.7,
2012-01-24 00:00:00 UTC,2,42,Giganteus,1,9.9,148.3,8.3,95.1,2289.5,132.5,60.6,159.7,65.3,2108.4,327.9,146.9,
2012-01-24 00:00:00 UTC,2,44,Sac-5,4,7.5,136.9,5.6,85.2,906.4,123.5,56.8,103.2,49.9,1155.1,363.3,141.1,
2012-01-24 00:00:00 UTC,2,46,Goliath,14,2.4,34.4,2.7,22.0,852.1,120.4,62.6,260.1,102.1,766.7,362.4,192.3,
2012-01-24 00:00:00 UTC,2,48,EMI-11,11,0.8,10.7,1.7,9.1,355.1,106.1,66.7,110.9,44.1,269.6,189.9,81.6,
2012-01-24 00:00:00 UTC,3,50,EMI-11,2,3.11,10.57,1.3,6.7,438.7,107.3,55.2,41.8,15.7,477.4,307.0,117.5,
2012-01-24 00:00:00 UTC,3,51,Sac-5,2,1.87,61.92,1.8,29.4,688.9,113.4,54.7,50.5,20.2,940.2,290.4,69.6,
2012-01-24 00:00:00 UTC,3,53,Goliath,6,3.48,27.48,2.0,20.6,1034.7,95.5,45.5,180.4,62.1,723.9,328.7,125.9,
2012-01-24 00:00:00 UTC,3,56,Giganteus,3,9.37,96.67,3.6,41.3,905.3,113.0,41.9,128.1,49.1,635.2,348.6,120.2,
2012-01-24 00:00:00 UTC,4,57,Goliath,15,4.1,31.6,3.7,21.7,1298.6,12338.0,54.7,252.0,101.5,899.1,297.4,142.9,
2012-01-24 00:00:00 UTC,4,58,Sac-5,9,2.8,104.6,3.0,57.6,192.1,70.5,28.3,35.8,14.9,203.2,202.3,88.7,
2012-01-24 00:00:00 UTC,4,61,EMI-11,5,0.7,6.4,1.5,5.5,42.1,14.4,8.5,23.6,8.6,119.7,119.2,44.8,
2012-01-24 00:00:00 UTC,4,62,Giganteus,8,10.2,84.1,7.6,53.3,682.4,122.22,54.4,76.9,30.0,684.9,189.1,70.7,
2012-07-26 00:00:00 UTC,1,1,Giganteus,,20.1,56.7,7.2,15.7,1174.0,439.97,117.78,,,,,,
2012-07-26 00:00:00 UTC,1,3,Goliath,,20.3,44.4,6.7,12.2,1316.0,547.03,128.97,,,,,,
2012-07-26 00:00:00 UTC,1,6,EMI-11,,3.6,15.0,1.6,4.7,321.0,126.3,37.15,,,,,,
2012-07-26 00:00:00 UTC,1,7,Sac-5,,31.0,98.1,9.3,26.0,3285.0,743.42,177.46,,,,,,
2012-07-26 00:00:00 UTC,2,10,Sac-5,,26.0,82.1,8.0,19.9,2427.0,706.5,152.04,,,,,,
2012-07-26 00:00:00 UTC,2,12,EMI-11,,10.3,25.2,3.9,7.4,2066.0,603.24,149.9,,,,,,
2012-07-26 00:00:00 UTC,2,13,Giganteus,,23.6,93.1,7.8,22.7,1469.0,524.88,118.8,,,,,,
2012-07-26 00:00:00 UTC,2,14,Goliath,,20.7,46.6,6.8,11.4,1388.0,537.9,125.26,,,,,,
2012-07-26 00:00:00 UTC,3,17,Giganteus,,26.0,116.1,8.3,25.7,3683.0,1109.11,227.57,,,,,,
2012-07-26 00:00:00 UTC,3,19,EMI-11,,7.5,17.3,3.2,5.3,956.0,432.86,114.03,,,,,,
2012-07-26 00:00:00 UTC,3,23,Goliath,,20.6,41.1,6.6,10.8,2338.0,671.6,163.44,,,,,,
2012-07-26 00:00:00 UTC,3,24,Sac-5,,44.3,160.2,12.8,39.6,3230.0,855.22,193.17,,,,,,
2012-07-26 00:00:00 UTC,4,25,Sac-5,,38.7,129.7,11.9,32.6,5036.0,1044.6,225.86,,,,,,
2012-07-26 00:00:00 UTC,4,28,Goliath,,20.8,39.1,6.9,10.6,1336.0,412.57,90.19,,,,,,
2012-07-26 00:00:00 UTC,4,30,EMI-11,,7.5,21.2,2.9,5.7,2247.0,633.57,165.89,,,,,,
2012-07-26 00:00:00 UTC,4,31,Giganteus,,23.4,97.7,7.8,22.3,4391.0,589.82,133.18,,,,,,
2012-11-28 00:00:00 UTC,1,1,Giganteus,,7.7,49.1,4.3,20.9,1405.0,598.3,259.1,,,,,,
2012-11-28 00:00:00 UTC,1,3,Goliath,,0.4,27.2,0.2,14.8,823.0,375.4,166.9,,,,,,
2012-11-28 00:00:00 UTC,1,6,EMI-11,,0.8,17.4,0.4,9.4,385.0,60.9,83.4,,,,,,
2012-11-28 00:00:00 UTC,1,7,Sac-5,,10.4,77.8,4.3,33.6,1092.0,463.5,190.5,,,,,,
2012-11-28 00:00:00 UTC,2,10,Sac-5,,6.6,126.1,3.5,51.4,2386.0,722.5,275.7,,,,,,
2012-11-28 00:00:00 UTC,2,12,EMI-11,,0.25,22.6,0.2,13.9,1011.0,357.2,171.6,,,,,,
2012-11-28 00:00:00 UTC,2,13,Giganteus,,10.38,69.1,6.2,30.2,2481.0,641.6,268.7,,,,,,
2012-11-28 00:00:00 UTC,2,14,Goliath,,1.7,30.3,1.4,15.1,504.0,185.6,89.7,,,,,,
2012-11-28 00:00:00 UTC,3,17,Giganteus,,6.31,85.4,3.6,33.4,2832.0,699.1,279.5,,,,,,
2012-11-28 00:00:00 UTC,3,19,EMI-11,,,19.0,,10.1,1486.0,436.9,196.5,,,,,,
2012-11-28 00:00:00 UTC,3,23,Goliath,,2.6,41.4,1.6,20.1,1504.0,418.9,197.2,,,,,,
2012-11-28 00:00:00 UTC,3,24,Sac-5,,8.17,112.1,4.0,48.7,2413.0,615.8,235.7,,,,,,
2012-11-28 00:00:00 UTC,4,25,Sac-5,,7.4,96.7,3.6,39.8,1190.0,413.1,162.1,,,,,,
2012-11-28 00:00:00 UTC,4,28,Goliath,,1.4,40.7,1.1,20.6,857.0,196.2,94.4,,,,,,
2012-11-28 00:00:00 UTC,4,30,EMI-11,,0.1,15.2,0.1,8.7,1444.0,511.9,275.1,,,,,,
2012-11-28 00:00:00 UTC,4,31,Giganteus,,5.6,61.9,2.9,25.9,2724.0,665.9,275.2,,,,,,
2012-12-04 00:00:00 UTC,1,35,EMI-11,8,0.4,11.2,0.5,6.8,1052.6,141.1,87.1,,,,,,
2012-12-04 00:00:00 UTC,1,36,Giganteus,7,10.3,105.2,6.3,56.7,1142.7,250.5,103.6,,,,,,
2012-12-04 00:00:00 UTC,1,39,Goliath,4,3.7,36.9,3.4,19.4,1125.2,178.0,97.7,,,,,,
2012-12-04 00:00:00 UTC,1,40,Sac-5,7,8.3,173.6,6.3,80.8,4102.1,280.5,121.9,,,,,,
2012-12-04 00:00:00 UTC,2,42,Giganteus,4,6.1,91.0,3.9,40.4,2749.1,209.3,84.6,,,,,,
2012-12-04 00:00:00 UTC,2,44,Sac-5,10,6.6,105.4,4.9,46.8,1384.9,198.1,89.4,,,,,,
2012-12-04 00:00:00 UTC,2,46,Goliath,7,0.9,41.4,0.8,22.8,1606.3,129.2,67.2,,,,,,
2012-12-04 00:00:00 UTC,2,48,EMI-11,6,0.8,14.5,0.8,8.6,992.9,125.3,76.0,,,,,,
2012-12-04 00:00:00 UTC,3,50,EMI-11,13,0.5,14.8,0.5,9.2,785.9,119.0,74.3,,,,,,
2012-12-04 00:00:00 UTC,3,51,Sac-5,12,10.0,180.5,7.4,82.3,594.7,244.2,96.8,,,,,,
2012-12-04 00:00:00 UTC,3,53,Goliath,7,,42.9,,23.3,2653.7,202.8,100.6,,,,,,
2012-12-04 00:00:00 UTC,3,56,Giganteus,7,9.5,136.2,6.5,58.3,1138.9,278.0,118.2,,,,,,
2012-12-04 00:00:00 UTC,4,57,Goliath,4,1.8,19.1,1.7,9.7,197.2,112.4,57.8,,,,,,
2012-12-04 00:00:00 UTC,4,58,Sac-5,4,9.6,162.1,7.1,73.2,888.1,291.4,135.6,,,,,,
2012-12-04 00:00:00 UTC,4,61,EMI-11,3,0.2,13.0,0.3,8.4,577.3,145.2,87.9,,,,,,
2012-12-04 00:00:00 UTC,4,62,Giganteus,6,11.8,114.5,6.9,50.5,3640.7,235.4,105.2,,,,,,
2013-01-22 00:00:00 UTC,1,1,Giganteus,,,,,,203.0,85.7,97.3,38.9,,500.7,328.9,99.8,
2013-01-22 00:00:00 UTC,1,3,Goliath,,,,,,527.0,220.6,122.7,115.6,16.9,824.1,394.5,148.4,
2013-01-22 00:00:00 UTC,1,6,EMI-11,,,,,,654.0,291.8,200.5,205.7,35.0,1251.5,650.5,234.6,
2013-01-22 00:00:00 UTC,1,7,Sac-5,,,,,,1540.0,559.1,324.6,250.9,51.2,2308.8,1101.6,423.4,
2013-01-22 00:00:00 UTC,3,17,Giganteus,,,,,,1571.0,455.8,210.8,159.7,19.2,1322.2,528.0,184.9,
2013-01-22 00:00:00 UTC,3,19,EMI-11,,,,,,784.0,328.9,195.9,118.5,18.9,1100.4,531.9,181.6,
2013-01-22 00:00:00 UTC,3,23,Goliath,,,,,,1118.0,495.2,261.2,129.1,17.7,878.3,466.3,194.4,
2013-01-22 00:00:00 UTC,3,24,Sac-5,,,,,,1817.0,545.7,313.2,234.9,59.4,2984.2,879.8,330.0,
2013-01-23 00:00:00 UTC,2,10,Sac-5,,,,,,1356.0,476.1,491.0,255.4,41.3,3261.7,1182.4,448.3,
2013-01-23 00:00:00 UTC,2,12,EMI-11,,,,,,662.0,273.2,187.9,138.9,22.5,669.1,488.9,185.6,
2013-01-23 00:00:00 UTC,2,13,Giganteus,,,,,,2591.0,556.2,273.6,231.2,47.3,2880.3,1010.6,387.5,
2013-01-23 00:00:00 UTC,2,14,Goliath,,,,,,216.0,85.3,53.7,46.6,,321.5,181.1,68.9,
2013-01-23 00:00:00 UTC,4,25,Sac-5,,,,,,1438.0,559.7,326.2,260.6,47.9,2766.6,947.2,355.4,
2013-01-23 00:00:00 UTC,4,28,Goliath,,,,,,456.0,208.5,126.9,66.9,,308.1,175.2,65.2,
2013-01-23 00:00:00 UTC,4,30,EMI-11,,,,,,650.0,284.0,201.4,198.5,30.7,937.9,456.4,162.1,
2013-01-23 00:00:00 UTC,4,31,Giganteus,,,,,,2736.0,573.5,279.5,260.7,41.8,2989.2,991.7,364.1,
2015-02-06 00:00:00 UTC,1,35,EMI-11,1,,,,,561.4,99.3,74.6,,,,,,
2015-02-06 00:00:00 UTC,1,35,EMI-11,2,,,,,378.6,87.3,68.6,,,,,,
2015-02-06 00:00:00 UTC,1,35,EMI-11,3,,,,,170.3,65.1,52.6,,,,,,
2015-02-06 00:00:00 UTC,1,36,Giganteus,1,,,,,5827.5,216.3,107.6,,,,,,
2015-02-06 00:00:00 UTC,1,36,Giganteus,2,,,,,981.0,165.5,89.6,,,,,,
2015-02-06 00:00:00 UTC,1,36,Giganteus,3,,,,,2308.1,185.2,91.6,,,,,,
2015-02-06 00:00:00 UTC,1,39,Goliath,1,,,,,1283.0,121.6,73.6,,,,,,
2015-02-06 00:00:00 UTC,1,39,Goliath,2,,,,,1326.4,121.6,75.6,,,,,,
2015-02-06 00:00:00 UTC,1,39,Goliath,3,,,,,859.1,111.4,69.8,,,,,,
2015-02-06 00:00:00 UTC,1,40,Sac-5,1,,,,,762.8,160.9,108.6,,,,,,
2015-02-06 00:00:00 UTC,1,40,Sac-5,2,,,,,474.2,120.8,96.6,,,,,,
2015-02-06 00:00:00 UTC,1,40,Sac-5,3,,,,,369.8,109.7,95.6,,,,,,
2015-02-06 00:00:00 UTC,2,42,Giganteus,1,,,,,543.0,121.8,78.6,,,,,,
2015-02-06 00:00:00 UTC,2,42,Giganteus,2,,,,,1899.1,178.4,97.2,,,,,,
2015-02-06 00:00:00 UTC,2,42,Giganteus,3,,,,,603.7,122.4,76.0,,,,,,
2015-02-06 00:00:00 UTC,2,44,Sac-5,1,,,,,752.7,141.1,104.6,,,,,,
2015-02-06 00:00:00 UTC,2,44,Sac-5,2,,,,,1016.2,147.9,119.6,,,,,,
2015-02-06 00:00:00 UTC,2,44,Sac-5,3,,,,,596.7,112.0,91.0,,,,,,
2015-02-06 00:00:00 UTC,2,46,Goliath,1,,,,,1621.2,96.0,66.6,,,,,,
2015-02-06 00:00:00 UTC,2,46,Goliath,2,,,,,225.3,106.1,67.6,,,,,,
2015-02-06 00:00:00 UTC,2,46,Goliath,3,,,,,298.7,111.1,68.6,,,,,,
2015-02-06 00:00:00 UTC,2,48,EMI-11,1,,,,,746.5,100.5,73.6,,,,,,
2015-02-06 00:00:00 UTC,2,48,EMI-11,2,,,,,693.1,105.7,74.6,,,,,,
2015-02-06 00:00:00 UTC,2,48,EMI-11,3,,,,,422.3,84.6,64.6,,,,,,
2015-02-06 00:00:00 UTC,3,50,EMI-11,1,,,,,424.2,73.2,58.6,,,,,,
2015-02-06 00:00:00 UTC,3,50,EMI-11,2,,,,,432.6,76.5,62.6,,,,,,
2015-02-06 00:00:00 UTC,3,50,EMI-11,3,,,,,212.8,61.1,50.6,,,,,,
2015-02-06 00:00:00 UTC,3,51,Sac-5,1,,,,,721.8,106.8,83.6,,,,,,
2015-02-06 00:00:00 UTC,3,51,Sac-5,2,,,,,575.6,157.9,117.4,,,,,,
2015-02-06 00:00:00 UTC,3,51,Sac-5,3,,,,,823.0,144.4,108.6,,,,,,
2015-02-06 00:00:00 UTC,3,53,Goliath,1,,,,,681.4,117.0,74.6,,,,,,
2015-02-06 00:00:00 UTC,3,53,Goliath,2,,,,,699.7,98.2,61.6,,,,,,
2015-02-06 00:00:00 UTC,3,53,Goliath,3,,,,,1183.9,116.9,72.6,,,,,,
2015-02-06 00:00:00 UTC,3,56,Giganteus,1,,,,,1505.2,189.8,99.6,,,,,,
2015-02-06 00:00:00 UTC,3,56,Giganteus,2,,,,,2385.0,200.7,101.6,,,,,,
2015-02-06 00:00:00 UTC,3,56,Giganteus,3,,,,,1702.9,216.6,110.6,,,,,,
2015-02-06 00:00:00 UTC,4,57,Goliath,1,,,,,900.8,128.4,78.6,,,,,,
2015-02-06 00:00:00 UTC,4,57,Goliath,2,,,,,762.2,108.1,67.6,,,,,,
2015-02-06 00:00:00 UTC,4,57,Goliath,3,,,,,178.9,77.9,50.8,,,,,,
2015-02-06 00:00:00 UTC,4,58,Sac-5,1,,,,,708.0,141.3,106.6,,,,,,
2015-02-06 00:00:00 UTC,4,58,Sac-5,2,,,,,726.3,151.6,111.6,,,,,,
2015-02-06 00:00:00 UTC,4,58,Sac-5,3,,,,,370.5,133.2,95.6,,,,,,
2015-02-06 00:00:00 UTC,4,61,EMI-11,1,,,,,381.3,95.1,74.6,,,,,,
2015-02-06 00:00:00 UTC,4,61,EMI-11,2,,,,,500.2,102.0,78.6,,,,,,
2015-02-06 00:00:00 UTC,4,61,EMI-11,3,,,,,580.4,81.6,66.6,,,,,,
2015-02-06 00:00:00 UTC,4,62,Giganteus,1,,,,,909.0,141.4,83.6,,,,,,
2015-02-06 00:00:00 UTC,4,62,Giganteus,2,,,,,1471.4,250.4,113.6,,,,,,
2015-02-06 00:00:00 UTC,4,62,Giganteus,3,,,,,2187.4,205.0,101.6,,,,,,
